country_of_citizenship,class_of_admission,employer_state,us_economic_sector,case_status,foreign_worker_info_education,foreign_worker_info_major,case_received_date,decision_date,processing_days,application_year,application_month,application_quarter,application_dayofweek
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,WIRELESS COMMUNICATIONS,2013-11-14,2015-05-12,544,2013,11,4,3
SOUTH KOREA,UNKNOWN,MISSISSIPPI,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-11-12,2015-05-20,554,2013,11,4,1
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2013-11-18,2015-05-11,539,2013,11,4,0
INDIA,UNKNOWN,FLORIDA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-12-21,2015-06-12,538,2013,12,4,5
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONICS AND COMMUNICATION ENGINEERING,2013-11-19,2015-05-21,548,2013,11,4,1
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,INFORMATION SYSTEMS,2013-12-09,2015-06-17,555,2013,12,4,0
PHILIPPINES,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,INFORMATION SYSTEMS MANAGEMENT (MISM),2014-01-02,2015-06-17,531,2014,1,1,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2013-11-15,2015-05-08,539,2013,11,4,4
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,INFORMATION TECHNOLOGY,2013-11-26,2015-05-12,532,2013,11,4,1
CANADA,TN,ALABAMA,UNKNOWN,DENIED,BACHELOR'S,BACHELOR OF SCIENCE (MECHANICAL),2014-01-20,2015-07-21,547,2014,1,1,0
CHINA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,ACCOUNTING,2013-11-18,2015-05-15,543,2013,11,4,0
PHILIPPINES,B-2,VIRGINIA,UNKNOWN,DENIED,BACHELOR'S,CIVIL ENGINEERING,2013-10-30,2015-05-18,565,2013,10,4,2
AUSTRALIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,HIGH SCHOOL,HIGH SCHOOL,2013-12-11,2015-06-04,540,2013,12,4,2
FRANCE,E-2,TEXAS,UNKNOWN,CERTIFIED,ASSOCIATE'S,MECHANICAL AND ELECTRONIC ENGINEERING TECHNOLOGY,2013-12-12,2015-06-04,539,2013,12,4,3
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,INFORMATION TECHNOLOGY,2013-11-19,2015-05-21,548,2013,11,4,1
ISRAEL,F-1,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-12-03,2015-06-04,548,2013,12,4,1
NEPAL,H-1B,NEW JERSEY,UNKNOWN,DENIED,BACHELOR'S,ENGINEERING,2013-11-14,2015-06-08,571,2013,11,4,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,ENGINEERING,2013-11-12,2015-09-25,682,2013,11,4,1
CANADA,H-1B,ARIZONA,UNKNOWN,DENIED,OTHER,ELECTROTECHNOLOGY,2013-11-11,2015-05-28,563,2013,11,4,0
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE AND ENGINEERING,2013-11-27,2015-05-11,530,2013,11,4,2
INDIA,H-1B,TENNESSEE,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2013-11-15,2015-07-06,598,2013,11,4,4
CANADA,E-2,MICHIGAN,UNKNOWN,CERTIFIED,MASTER'S,MECHANCIAL ENGINEERING,2013-11-27,2015-05-20,539,2013,11,4,2
INDIA,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-11-25,2015-05-29,550,2013,11,4,0
SOUTH KOREA,UNKNOWN,SOUTH CAROLINA,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2014-04-09,2015-08-06,484,2014,4,2,2
CHINA,L-1,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2013-12-06,2015-06-19,560,2013,12,4,4
INDIA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2013-11-18,2015-06-04,563,2013,11,4,0
JAPAN,H-1B,NEW YORK,UNKNOWN,CERTIFIED,BACHELOR'S,ECONOMICS,2013-11-12,2015-05-13,547,2013,11,4,1
