country_of_citizenship,class_of_admission,employer_state,us_economic_sector,case_status,foreign_worker_info_education,foreign_worker_info_major,case_received_date,decision_date,processing_days,application_year,application_month,application_quarter,application_dayofweek
CANADA,H-1B,RHODE ISLAND,UNKNOWN,DENIED,BACHELOR'S,BUSINESS ADMINISTRATION (ECONOMICS/FINANCE),2013-08-06,2015-03-13,584,2013,8,3,1
INDIA,H-1B,VIRGINIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-09-13,2015-04-28,592,2013,9,3,4
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,OCEAN ENGINEERING,2013-09-27,2015-04-27,577,2013,9,3,4
MEXICO,EWI,NEW JERSEY,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-08-12,2015-07-21,708,2013,8,3,0
INDIA,H-1B,FLORIDA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-10-22,2015-05-01,556,2013,10,4,1
INDIA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2013-07-24,2015-05-04,649,2013,7,3,2
UNITED KINGDOM,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-09-12,2015-04-17,582,2013,9,3,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-09-18,2015-05-11,600,2013,9,3,2
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-09-11,2015-04-20,586,2013,9,3,2
SPAIN,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,MASTER'S,ROMANCE LANGUAGES AND LITERATURES - HISPANIC STUDIES,2014-06-12,2015-08-28,442,2014,6,2,3
CHINA,H-1B,KANSAS,UNKNOWN,CERTIFIED,MASTER'S,MATHEMATICS AND STATISTICS,2013-10-22,2015-05-04,559,2013,10,4,1
INDIA,H-1B,NORTH CAROLINA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-11-18,2015-06-02,561,2013,11,4,0
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-09-15,2015-05-13,605,2013,9,3,6
INDIA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-08-15,2015-07-29,713,2013,8,3,3
INDONESIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,"BUSINESS ADMINISTRATION, CONCENTRATION FINANCE",2013-09-17,2015-04-29,589,2013,9,3,1
INDIA,H-1B,INDIANA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2013-09-04,2015-04-21,594,2013,9,3,2
INDIA,H-1B,NEW YORK,UNKNOWN,DENIED,MASTER'S,SOFTWARE ENGINEERING,2013-09-30,2015-09-11,711,2013,9,3,0
INDIA,H-1B,KANSAS,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-10-22,2015-05-04,559,2013,10,4,1
CANADA,TN,TEXAS,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-09-23,2015-04-13,567,2013,9,3,0
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2013-10-23,2015-04-29,553,2013,10,4,2
INDIA,H-1B,ILLINOIS,UNKNOWN,DENIED,BACHELOR'S,POLYMER TECHNOLOGY,2013-10-22,2015-04-30,555,2013,10,4,1
CHINA,H-1B,NEW HAMPSHIRE,UNKNOWN,CERTIFIED,MASTER'S,URBAN PLANNING,2013-08-27,2015-06-25,667,2013,8,3,1
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONICS AND TELECOMMUNICAITON ENGINEERING,2013-09-04,2015-04-28,601,2013,9,3,2
BRAZIL,H-1B,FLORIDA,UNKNOWN,DENIED,ASSOCIATE'S,ELECTRONIC ENGINEERING TECHNOLOGY,2013-09-04,2015-04-21,594,2013,9,3,2
RUSSIA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,DOCTORATE,MATHEMATICS,2013-10-18,2015-05-01,560,2013,10,4,4
CHINA,H-1B,GEORGIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2013-09-16,2015-04-24,585,2013,9,3,0
SLOVENIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,BACHELOR'S,FINANCE AND MATHEMATICS,2013-09-27,2015-04-15,565,2013,9,3,4
SOUTH KOREA,E-2,CALIFORNIA,UNKNOWN,DENIED,BACHELOR'S,ADVERTISING & PUBLIC RELATIONS,2013-08-05,2015-03-31,603,2013,8,3,0
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,TECHNOLOGY MANAGEMENT,2013-08-14,2015-09-29,776,2013,8,3,2
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-08-26,2015-06-16,659,2013,8,3,0
THAILAND,L-1,NORTH CAROLINA,UNKNOWN,DENIED,MASTER'S,COMPUTER ENGINEERING,2013-08-28,2015-08-24,726,2013,8,3,2
INDIA,H-1B,KENTUCKY,UNKNOWN,CERTIFIED,BACHELOR'S,SCIENCE,2013-09-02,2015-04-29,604,2013,9,3,0
CHINA,H-1B,PENNSYLVANIA,UNKNOWN,DENIED,DOCTORATE,APPLIED MATHEMATICS,2013-08-23,2015-03-31,585,2013,8,3,4
INDIA,H-1B,TENNESSEE,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2013-11-22,2015-05-12,536,2013,11,4,4
TURKEY,H-1B,GEORGIA,UNKNOWN,CERTIFIED,DOCTORATE,INTERNATIONAL RELATIONS,2013-08-30,2015-06-16,655,2013,8,3,4
PHILIPPINES,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,EDUCATION,2013-09-03,2015-08-05,701,2013,9,3,1
SRI LANKA,H-1B,KANSAS,UNKNOWN,CERTIFIED,BACHELOR'S,AEROSPACE ENGINEERING,2013-09-09,2015-04-22,590,2013,9,3,0
INDIA,PAROLEE,MASSACHUSETTS,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION (MAJOR:  MIS),2013-10-21,2015-05-01,557,2013,10,4,0
TAIWAN,H-1B,FLORIDA,UNKNOWN,CERTIFIED,BACHELOR'S,INDUSTRIAL DESIGN,2013-10-18,2015-04-27,556,2013,10,4,4
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,MBA,2013-08-12,2015-05-28,654,2013,8,3,0
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,ACCOUNTING,2013-08-23,2015-04-13,598,2013,8,3,4
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-11-22,2015-05-07,531,2013,11,4,4
INDIA,H-1B,ILLINOIS,UNKNOWN,DENIED,MASTER'S,ELECTRICAL ENGINEERING,2013-08-07,2015-03-17,587,2013,8,3,2
PHILIPPINES,H-1B,IDAHO,UNKNOWN,DENIED,BACHELOR'S,MEDICAL TECHNOLOGY,2013-08-07,2015-05-21,652,2013,8,3,2
CHINA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,MANAGEMENT INFORMATION SYSTEMS,2013-09-13,2015-04-13,577,2013,9,3,4
NETHERLANDS,NOT IN USA,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,INTERACTION DESIGN,2013-09-12,2015-04-09,574,2013,9,3,3
SOUTH KOREA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2013-11-18,2015-05-13,541,2013,11,4,0
NEPAL,H-1B,DELAWARE,UNKNOWN,DENIED,MASTER'S,PROJECT MANAGEMENT,2013-08-22,2015-04-13,599,2013,8,3,3
UNITED KINGDOM,H-1B,NEW YORK,UNKNOWN,CERTIFIED,BACHELOR'S,ECONOMICS AND POLITICAL SCIENCE,2013-09-12,2015-04-10,575,2013,9,3,3
UNITED KINGDOM,L-1,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL AND ELECTRONIC ENGINEERING,2013-09-06,2015-05-06,607,2013,9,3,4
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2013-09-05,2015-04-09,581,2013,9,3,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,INFORMATION SYSTEMS TECHNOLOGIES,2013-11-01,2015-05-22,567,2013,11,4,4
CHINA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,DOCTORATE,PHYSICS,2013-11-18,2015-05-20,548,2013,11,4,0
NEPAL,L-1,MASSACHUSETTS,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTING (3 YEAR DEGREE),2013-09-23,2015-04-21,575,2013,9,3,0
INDIA,H-1B,MARYLAND,UNKNOWN,CERTIFIED,MASTER'S,ENGINEERING SCIENCE,2013-09-11,2015-04-24,590,2013,9,3,2
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,CHEMISTRY,2013-11-18,2015-05-08,536,2013,11,4,0
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,MBA,2013-09-17,2015-04-09,569,2013,9,3,1
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,SCIENCE (BIOMEDICAL ENGINEERING),2013-09-03,2015-04-09,583,2013,9,3,1
INDIA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER ENGINEERING,2013-09-18,2015-04-21,580,2013,9,3,2
CHINA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,TRANSPORTATION PLANNING & MANAGEMENT,2013-08-13,2015-03-20,584,2013,8,3,1
INDONESIA,L-1,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRICAL ENGINEERING,2013-08-30,2015-09-01,732,2013,8,3,4
INDIA,B-1,ILLINOIS,UNKNOWN,DENIED,BACHELOR'S,BUSINESS MANAGEMENT,2013-08-14,2015-08-26,742,2013,8,3,2
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,INFORMATION SYSTEMS,2013-09-25,2015-05-01,583,2013,9,3,2
CANADA,TN,NEW YORK,UNKNOWN,DENIED,BACHELOR'S,CIVIL ENGINEERING,2013-08-08,2015-04-22,622,2013,8,3,3
SOUTH KOREA,H-1B,GEORGIA,UNKNOWN,CERTIFIED,HIGH SCHOOL,UNKNOWN,2013-09-24,2015-05-04,587,2013,9,3,1
CHINA,H-1B,ILLINOIS,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2013-08-26,2015-03-30,581,2013,8,3,0
INDIA,H-1B,FLORIDA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-09-30,2015-04-20,567,2013,9,3,0
CHINA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,FINANCE,2013-08-09,2015-04-10,609,2013,8,3,4
INDIA,L-1,FLORIDA,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONIC ENGINEERING,2013-09-20,2015-04-13,570,2013,9,3,4
SYRIA,UNKNOWN,MAINE,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-09-23,2015-04-17,571,2013,9,3,0
CANADA,L-1,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,ENGINEERING,2013-08-21,2015-04-10,597,2013,8,3,2
TAIWAN,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,MASTER'S,FAMILY THERAPY,2013-09-03,2015-05-05,609,2013,9,3,1
TAIWAN,F-1,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL AND COMPUTER ENGINEERING,2013-09-06,2015-05-14,615,2013,9,3,4
RUSSIA,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,MASTER'S,PROFESSIONAL COMMUNICATION,2013-09-05,2015-04-20,592,2013,9,3,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-11-14,2015-05-14,546,2013,11,4,3
INDIA,H-1B,VIRGINIA,UNKNOWN,CERTIFIED,MASTER'S,MECHANICAL ENGINEERING (RELATED TO ENGINEERING),2013-08-19,2015-06-12,662,2013,8,3,0
INDIA,H-1B,COLORADO,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2013-09-10,2015-04-27,594,2013,9,3,1
CHINA,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,MASTER'S,ELECTRONIC ENGINEERING,2013-09-04,2015-04-28,601,2013,9,3,2
CHINA,H-1B,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,SOFTWARE ENGINEERING,2013-08-13,2015-03-27,591,2013,8,3,1
BRAZIL,H-1B,NEW YORK,UNKNOWN,DENIED,BACHELOR'S,AGRONOMY ENGINEERING,2013-08-14,2015-08-26,742,2013,8,3,2
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,WIRELESS COMMUNICATIONS,2013-10-18,2015-04-24,553,2013,10,4,4
ARGENTINA,H-1B,FLORIDA,UNKNOWN,DENIED,BACHELOR'S,ACCOUNTING,2013-08-26,2015-04-08,590,2013,8,3,0
INDIA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE AND ENGINEERING,2014-01-30,2015-06-11,497,2014,1,1,3
CHINA,H-1B,CONNECTICUT,UNKNOWN,DENIED,MASTER'S,STATISTICS,2013-08-22,2015-03-20,575,2013,8,3,3
INDIA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE AND ENGINEERING,2013-09-16,2015-04-17,578,2013,9,3,0
INDIA,H-1B,ILLINOIS,UNKNOWN,DENIED,BACHELOR'S,COMPUTER SCIENCE,2013-08-16,2015-08-20,734,2013,8,3,4
FRANCE,L-1,GEORGIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-09-18,2015-04-23,582,2013,9,3,2
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS / FINANCE,2013-09-25,2015-04-28,580,2013,9,3,2
INDIA,H-1B,VIRGINIA,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRICAL ENGINEERING,2014-01-03,2015-06-26,539,2014,1,1,4
INDIA,H-1B,GEORGIA,UNKNOWN,CERTIFIED,BACHELOR'S,EDUCATION,2013-12-18,2015-05-29,527,2013,12,4,2
INDIA,H-1B,NORTH CAROLINA,UNKNOWN,DENIED,MASTER'S,COMPUTER ENGINEERING,2013-08-15,2015-08-24,739,2013,8,3,3
INDIA,L-1,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER APPLICATIONS,2013-08-06,2015-04-14,616,2013,8,3,1
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,DOCTORATE,AGRO CHEMICALS AND PEST MANAGEMENT,2013-09-30,2015-04-17,564,2013,9,3,0
INDIA,H-1B,ILLINOIS,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2013-08-26,2015-04-14,596,2013,8,3,0
INDIA,H-1B,GEORGIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER APPLICATIONS,2013-09-04,2015-04-16,589,2013,9,3,2
TURKEY,UNKNOWN,NEW YORK,UNKNOWN,DENIED,HIGH SCHOOL,UNKNOWN,2013-08-16,2014-11-28,469,2013,8,3,4
INDIA,H-1B,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2013-08-15,2015-07-13,697,2013,8,3,3
SOUTH KOREA,UNKNOWN,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,CIVIL ENGINEERING,2013-09-13,2015-04-23,587,2013,9,3,4
INDIA,H-1B,VIRGINIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMMERCE (SEE H.14),2013-10-25,2015-05-05,557,2013,10,4,4
BRAZIL,H-1B,FLORIDA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-09-04,2015-04-17,590,2013,9,3,2
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-11-04,2015-05-11,553,2013,11,4,0
FRANCE,J-1,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,INTERNATIONAL BUSINESS LAW,2013-08-23,2015-08-06,713,2013,8,3,4
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,SOFTWARE ENGINEERING,2014-02-05,2015-07-07,517,2014,2,1,2
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2013-08-16,2015-04-09,601,2013,8,3,4
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-09-27,2015-04-21,571,2013,9,3,4
INDIA,F-1,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRICAL AND ELECTRONICS ENGINEERING,2013-09-03,2015-04-22,596,2013,9,3,1
CHINA,L-1,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER INFORMATION SYSTEMS,2013-11-05,2015-05-07,548,2013,11,4,1
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,TELECOMMUNICATIONS ENGINEERING,2013-08-16,2015-04-10,602,2013,8,3,4
BOLIVIA,B-2,VIRGINIA,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-08-01,2014-11-03,459,2013,8,3,3
UNITED KINGDOM,H-1B,NEBRASKA,UNKNOWN,CERTIFIED,BACHELOR'S,MECHANICAL ENGINEERING,2013-09-18,2015-05-08,597,2013,9,3,2
PHILIPPINES,B-2,CALIFORNIA,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-08-12,2015-04-22,618,2013,8,3,0
INDIA,H-1B,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,ELECTRICAL ENGINEERING,2013-09-23,2015-07-13,658,2013,9,3,0
CANADA,TN,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,ENGINEERING/INFORMATION SYSTEMS ENGINEERING,2013-09-06,2015-04-27,598,2013,9,3,4
LEBANON,B-2,MICHIGAN,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-09-16,2015-04-15,576,2013,9,3,0
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-01-27,2015-06-17,506,2014,1,1,0
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,BACHELOR'S,ENGINEERING TECHNOLOGY,2013-12-18,2015-06-02,531,2013,12,4,2
CHINA,F-1,CALIFORNIA,UNKNOWN,DENIED,DOCTORATE,EAST ASIAN LANGUAGE & LITERATURES (CHINESE),2013-09-05,2015-04-06,578,2013,9,3,3
AUSTRALIA,O-1,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-09-03,2015-04-15,589,2013,9,3,1
INDIA,H-1B,MINNESOTA,UNKNOWN,CERTIFIED,MASTER'S,INFORMATION AND COMMUNICATION TECHNOLOGY,2013-10-30,2015-04-27,544,2013,10,4,2
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-10-18,2015-04-27,556,2013,10,4,4
INDIA,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER ENGINEERING,2013-10-24,2015-04-29,552,2013,10,4,3
PHILIPPINES,H-1B,COLORADO,UNKNOWN,DENIED,BACHELOR'S,ELEMENTARY EDUCATION,2013-08-05,2014-12-08,490,2013,8,3,0
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,MECHANICAL ENGINEERING,2013-11-30,2015-05-28,544,2013,11,4,5
SOUTH KOREA,E-2,MICHIGAN,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-12-03,2015-06-15,559,2013,12,4,1
CHINA,UNKNOWN,SOUTH CAROLINA,UNKNOWN,CERTIFIED,HIGH SCHOOL,SENIOR HIGH SCHOOL,2013-12-09,2015-06-12,550,2013,12,4,0
CHINA,UNKNOWN,SOUTH CAROLINA,UNKNOWN,CERTIFIED,HIGH SCHOOL,JUNIOR HIGH,2013-12-09,2015-06-05,543,2013,12,4,0
TURKEY,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,BACHELOR'S,"ECONOMICS, LITERATURE",2013-07-30,2015-06-11,681,2013,7,3,1
INDIA,H-1B,GEORGIA,UNKNOWN,DENIED,MASTER'S,ELECTRICAL ENGINEERING,2013-09-03,2015-07-24,689,2013,9,3,1
SOUTH KOREA,F-1,TENNESSEE,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-12-02,2015-06-09,554,2013,12,4,0
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,SOFTWARE ENGINEERING,2013-09-30,2015-04-14,561,2013,9,3,0
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,BACHELOR'S,ENGINEERING (ELECTRONIC),2013-08-01,2015-04-15,622,2013,8,3,3
CHINA,H-1B,NORTH CAROLINA,UNKNOWN,DENIED,BACHELOR'S,MECHANICAL AND MANUFACTURING ENGINEERING,2013-08-30,2015-08-10,710,2013,8,3,4
INDIA,H-1B,PENNSYLVANIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2013-09-13,2015-04-24,588,2013,9,3,4
INDIA,H-1B,PENNSYLVANIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER APPLICATIONS (EQUIV. TO U.S. MS IN COMP SCI.),2013-12-23,2015-06-09,533,2013,12,4,0
CANADA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2013-09-30,2015-04-24,571,2013,9,3,0
SOUTH KOREA,E-2,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2013-09-19,2015-04-23,581,2013,9,3,3
SOUTH KOREA,H-1B,TEXAS,UNKNOWN,DENIED,OTHER,COMPUTER INFORMATION SYSTEMS,2013-08-05,2015-08-26,751,2013,8,3,0
INDIA,L-1,GEORGIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2013-09-13,2015-04-21,585,2013,9,3,4
JAPAN,H-1B,UTAH,UNKNOWN,CERTIFIED,MASTER'S,SOCIAL WORK,2013-08-14,2015-07-13,698,2013,8,3,2
INDIA,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2013-09-05,2015-04-14,586,2013,9,3,3
INDIA,F-1,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,COMPUTER ENGINEERING,2013-09-20,2015-09-24,734,2013,9,3,4
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE AND ENGINEERING,2013-09-09,2015-05-19,617,2013,9,3,0
INDIA,F-1,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2013-09-16,2015-09-30,744,2013,9,3,0
CHINA,H-1B,VIRGINIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING (RELATED TO COMPUTER INFORMATION SYSTEMS),2013-09-05,2015-06-18,651,2013,9,3,3
CHINA,UNKNOWN,SOUTH CAROLINA,UNKNOWN,CERTIFIED,HIGH SCHOOL,JUNIOR HIGH SCHOOL,2013-12-09,2015-06-11,549,2013,12,4,0
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2014-01-09,2015-07-10,547,2014,1,1,3
INDIA,H-1B,CONNECTICUT,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2013-12-13,2015-06-04,538,2013,12,4,4
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,ENGINEERING (COMPUTER),2013-12-21,2015-04-15,480,2013,12,4,5
CHINA,NOT IN USA,TEXAS,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-09-30,2015-04-21,568,2013,9,3,0
INDIA,H-1B,OHIO,UNKNOWN,CERTIFIED,BACHELOR'S,MECHANICAL ENGINEERING,2013-12-20,2015-06-04,531,2013,12,4,4
JAPAN,UNKNOWN,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2013-12-20,2015-06-01,528,2013,12,4,4
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,MASTER OF BUSINESS ADMINISTRATION,2013-12-09,2015-06-29,567,2013,12,4,0
CHINA,H-1B,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,FINANCE AND CONTROL,2013-12-09,2015-07-24,592,2013,12,4,0
AUSTRALIA,H-1B,ILLINOIS,UNKNOWN,DENIED,BACHELOR'S,ENGINEERING,2013-08-14,2015-08-13,729,2013,8,3,2
INDIA,H-1B,SOUTH DAKOTA,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONIC ENGINEERING,2013-10-30,2015-05-04,551,2013,10,4,2
INDIA,H-1B,WISCONSIN,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2013-09-30,2015-04-24,571,2013,9,3,0
INDIA,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,MASTER'S,CHEMICAL ENGINEERING,2013-08-16,2015-06-23,676,2013,8,3,4
MONGOLIA,H-1B,NORTH CAROLINA,UNKNOWN,DENIED,MASTER'S,WEB SCIENCE,2013-09-11,2015-06-24,651,2013,9,3,2
PAKISTAN,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINSTRATION,2013-09-11,2015-04-24,590,2013,9,3,2
INDIA,NOT IN USA,NEW JERSEY,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2013-08-13,2015-09-25,773,2013,8,3,1
MARSHALL ISLANDS,UNKNOWN,CALIFORNIA,UNKNOWN,DENIED,BACHELOR'S,ENGINEERING,2013-08-02,2015-02-23,570,2013,8,3,4
SOUTH KOREA,H-1B,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2013-08-07,2015-04-14,615,2013,8,3,2
INDIA,H-1B,ILLINOIS,UNKNOWN,DENIED,MASTER'S,ENGINEERING,2013-08-19,2014-12-17,485,2013,8,3,0
INDIA,H-4,MASSACHUSETTS,UNKNOWN,CERTIFIED,ASSOCIATE'S,COMPUTER SCIENCE / MATHEMATICS,2013-10-22,2015-04-27,552,2013,10,4,1
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,CHEMICAL ENGINEERING,2013-09-26,2015-04-17,568,2013,9,3,3
INDIA,H-1B,NEW YORK,UNKNOWN,DENIED,BACHELOR'S,ENGINEERING,2013-08-21,2015-03-27,583,2013,8,3,2
CHINA,F-1,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,TRANSLATION & LOCALLIZATION MANAGEMENT,2013-09-05,2015-04-06,578,2013,9,3,3
INDIA,H-1B,MARYLAND,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONICS,2013-09-04,2015-05-08,611,2013,9,3,2
